round,version,mode,size,nodes,edges,iterations,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,clusters,merged,adjacent_pairs,assigned_nodes,reused_connectivity,scanned_connectivity_nodes,min_planarity,checksum
2,baseline,dynamic,4,11040,21376,500,0.963186,0.915646,1.202554,1.304334,1.567608,16.6,0.12,0.12,11039.872,0,0,0.624695,5528236
3,baseline,steady,1,2760,5344,500,0.231324,0.224922,0.285916,0.348203,0.406401,4,0,0,2760,0,0,0.666203,1382000
3,current,steady,1,2760,5344,500,0.226493,0.223539,0.244188,0.279914,0.317745,4,0,0,2760,4,0,0.666203,1382000
3,baseline,steady,4,11040,21376,500,0.920642,0.890128,1.096945,1.25383,1.392279,16,0,0,11040,0,0,0.666203,5528000
3,current,steady,4,11040,21376,500,0.880524,0.857878,1.00849,1.190822,1.272935,16,0,0,11040,16,0,0.666203,5528000
3,baseline,birth,1,2760,5344,500,0.196078,0.190577,0.227195,0.277359,0.289863,0,0,0,0,0,0,1,0
3,current,birth,1,2760,5344,500,0.21082,0.203561,0.259957,0.30391,0.433643,0,0,0,0,0,2760,1,0
3,baseline,birth,4,11040,21376,500,0.847255,0.819987,0.986629,1.113637,1.223773,0,0,0,0,0,0,1,0
3,current,birth,4,11040,21376,500,0.881314,0.850484,1.012607,1.177166,1.391838,0,0,0,0,0,11040,1,0
3,baseline,merge,9,2916,5724,500,0.379659,0.370544,0.444944,0.508583,0.558427,1,80,144,2916,0,0,1,1458500
3,current,merge,9,2916,5724,500,0.377439,0.369352,0.427361,0.501159,0.599233,1,80,144,2916,81,0,1,1458500
3,baseline,merge,17,10404,20604,500,1.285009,1.147921,1.754598,2.06032,2.278138,1,288,544,10404,0,0,1,5202500
3,current,merge,17,10404,20604,500,1.285979,1.187756,1.837453,2.190766,2.759842,1,288,544,10404,289,0,1,5202500
3,baseline,reject,9,2916,5724,500,0.318352,0.30949,0.381806,0.435777,0.502521,81,0,144,2916,0,0,0.999999,1498500
3,current,reject,9,2916,5724,500,0.318845,0.302146,0.419176,0.439443,0.618318,81,0,144,2916,81,0,0.999999,1498500
3,baseline,reject,17,10404,20604,500,1.175803,1.106242,1.460798,1.722057,1.986813,289,0,544,10404,0,0,0.999999,5346500
3,current,reject,17,10404,20604,500,1.154512,1.094441,1.443645,1.741232,2.040844,289,0,544,10404,289,0,0.999999,5346500
