0 7.645 11.4678 0.07645 0.114678 0.0007645 0.00114678
1000 1.12249 1.32725 1.10579 1.50567 1.17039 1.60151
2000 0.995008 1.01702 0.853253 1.17533 0.848608 1.18007
3000 1.07872 1.1074 0.744163 1.03183 0.762377 1.05702
4000 0.903795 0.914916 0.702391 0.980744 0.711751 0.996907
5000 1.1039 1.11539 0.690706 0.949303 0.664325 0.930365
6000 0.618932 0.745676 0.633364 0.882217 0.64051 0.889532
7000 0.541971 0.701721 0.612402 0.866058 0.624445 0.872703
8000 0.41021 0.771694 0.568807 0.808452 0.587105 0.826606
9000 0.567809 0.705044 0.586227 0.818506 0.586108 0.82954
10000 0.835816 0.941332 0.597167 0.827563 0.588044 0.818491
11000 1.27446 1.48426 0.586928 0.818705 0.577007 0.815738
12000 0.318893 0.668511 0.58603 0.786083 0.572548 0.785194
13000 0.707207 0.727792 0.562519 0.779787 0.55231 0.787454
14000 0.399781 0.579662 0.556446 0.753948 0.559908 0.763706
15000 0.284997 0.450874 0.528776 0.756119 0.535598 0.766308
16000 0.40222 0.592771 0.531192 0.7157 0.548013 0.747074
17000 0.540367 0.754628 0.545162 0.743209 0.538594 0.739026
18000 0.590104 0.729033 0.521765 0.738488 0.511612 0.722962
19000 0.360971 0.511322 0.547332 0.752835 0.532249 0.745866
20000 0.371171 0.647417 0.520354 0.722371 0.518275 0.727445
21000 0.385977 0.634633 0.522253 0.728995 0.525735 0.724288
22000 0.586203 0.621745 0.49758 0.699087 0.508288 0.708788
23000 0.522866 0.60258 0.503312 0.725138 0.490117 0.713229
24000 0.523786 0.605906 0.536923 0.738652 0.529002 0.726106
25000 0.472997 0.485395 0.507874 0.687283 0.522409 0.700648
26000 0.654801 0.859007 0.50295 0.705139 0.49728 0.698565
27000 0.707312 0.921979 0.476984 0.679088 0.493043 0.688963
28000 0.396471 0.59363 0.496422 0.673857 0.496297 0.686504
29000 0.857473 1.03975 0.494774 0.686742 0.492987 0.678076
30000 0.497917 0.498844 0.472307 0.660603 0.490154 0.678339
31000 0.788982 0.801844 0.515193 0.716989 0.506759 0.702867
32000 0.384656 0.702164 0.448794 0.641998 0.469844 0.657671
33000 0.742973 0.88783 0.50993 0.702199 0.499195 0.690859
34000 0.651404 0.691477 0.471334 0.683033 0.484522 0.683677
35000 0.507564 0.599203 0.49593 0.693337 0.492288 0.687427
36000 0.26068 0.469983 0.491575 0.690607 0.495193 0.680385
37000 0.377408 0.512071 0.458561 0.644199 0.477234 0.663814
38000 0.317695 0.428166 0.485159 0.675183 0.477648 0.673832
39000 0.27995 0.542683 0.4733 0.667081 0.479494 0.677172
40000 0.385569 0.756217 0.474258 0.65225 0.477549 0.651472
41000 0.476451 0.58388 0.483257 0.649222 0.471779 0.652805
42000 0.313094 0.71018 0.46453 0.661154 0.465955 0.657121
43000 0.29985 0.942579 0.489564 0.668383 0.47758 0.653961
44000 0.270613 0.367146 0.481591 0.665883 0.473949 0.654837
45000 0.627225 0.76996 0.463902 0.648903 0.462406 0.64763
46000 0.436645 0.502362 0.473978 0.646823 0.468977 0.64958
47000 0.467575 0.513785 0.455072 0.629564 0.457367 0.634885
48000 0.20667 0.587186 0.473992 0.668186 0.47503 0.649832
49000 0.501956 0.509085 0.477625 0.658647 0.477426 0.655885
50000 0.258608 0.52484 0.473262 0.641227 0.466894 0.638655
51000 0.358868 0.493698 0.469396 0.655915 0.461756 0.646598
52000 0.2414 0.471241 0.43692 0.630447 0.456732 0.636534
53000 0.392415 0.438081 0.457683 0.630333 0.455176 0.626252
54000 0.555593 0.6223 0.44499 0.616399 0.443912 0.623767
55000 0.289367 0.406692 0.482724 0.648247 0.462341 0.648935
56000 0.64736 0.720186 0.454997 0.623432 0.457439 0.626767
57000 0.248443 0.450498 0.474382 0.654037 0.46232 0.644082
58000 0.448176 0.642555 0.450905 0.615492 0.462625 0.627158
59000 0.47059 0.499005 0.453119 0.643418 0.448656 0.636965
60000 0.287417 0.50513 0.447306 0.620206 0.456259 0.628131
61000 0.936526 0.94504 0.443644 0.601426 0.446226 0.6083
62000 0.385268 0.387228 0.448594 0.632663 0.453952 0.627717
63000 0.837511 0.916625 0.439826 0.622392 0.445716 0.616346
64000 0.413339 0.686565 0.472613 0.639083 0.467822 0.637212
65000 0.435785 0.499973 0.450265 0.618438 0.456729 0.628461
66000 0.438321 0.880777 0.448733 0.614174 0.446626 0.614768
67000 0.432398 0.547211 0.474087 0.626435 0.467195 0.626467
68000 0.735309 0.909991 0.443216 0.61885 0.431752 0.598087
69000 0.64136 0.664703 0.429376 0.601799 0.446522 0.620052
70000 0.622247 0.637408 0.438721 0.602286 0.440261 0.614318
71000 0.291312 0.618481 0.445261 0.63513 0.441713 0.624758
72000 0.486822 0.670818 0.428165 0.613503 0.424683 0.617569
73000 0.0605969 0.366534 0.439549 0.609702 0.441255 0.614838
74000 0.364928 0.402919 0.430782 0.594639 0.426844 0.598813
75000 0.653934 1.03121 0.439578 0.611377 0.44419 0.607677
76000 0.276053 0.492939 0.434367 0.592803 0.440978 0.601929
77000 0.296557 0.426967 0.459805 0.624721 0.449196 0.617306
78000 0.561429 0.673796 0.422909 0.591291 0.427926 0.60099
79000 0.442345 0.936702 0.439651 0.610734 0.435618 0.605022
80000 0.502978 0.572495 0.447232 0.613242 0.444665 0.605715
81000 0.631756 0.751933 0.431686 0.609078 0.433786 0.602785
82000 0.41564 0.528863 0.42702 0.599682 0.435046 0.599894
83000 0.302952 0.856764 0.416112 0.577891 0.420549 0.582817
84000 0.381209 0.502201 0.430465 0.593689 0.433837 0.590842
85000 0.346552 0.740895 0.416463 0.605365 0.431275 0.605004
86000 0.298202 0.354793 0.437992 0.591995 0.427684 0.585018
87000 0.527471 0.64807 0.433503 0.606089 0.435687 0.606046
88000 0.476693 0.602929 0.438428 0.588625 0.425774 0.586355
89000 0.30338 0.405993 0.422117 0.574497 0.431473 0.589618
90000 0.523385 0.576613 0.448389 0.615283 0.441392 0.60171
91000 0.687108 0.688149 0.426341 0.570848 0.429795 0.58082
92000 0.296291 0.422509 0.434595 0.584281 0.432861 0.590113
93000 0.280804 0.360145 0.416033 0.577416 0.421331 0.582958
94000 0.412259 0.446611 0.438419 0.598214 0.436214 0.605357
95000 0.4747 0.716372 0.445132 0.598417 0.434133 0.595846
96000 0.275714 0.57683 0.425646 0.591761 0.41994 0.583659
97000 0.590204 0.616145 0.423002 0.575256 0.418832 0.575085
98000 0.285623 0.357737 0.422851 0.560829 0.426462 0.573864
99000 0.241458 0.302543 0.440863 0.590362 0.439988 0.590547
100000 0.430883 0.515215 0.4228 0.564874 0.407104 0.561153
101000 0.398967 0.517653 0.438113 0.601432 0.435372 0.601553
102000 0.465371 0.523083 0.421171 0.590237 0.427075 0.598299
103000 0.62155 0.778432 0.41583 0.572834 0.4249 0.583888
104000 0.423377 0.48952 0.407959 0.560737 0.422636 0.573498
105000 0.266766 0.509141 0.42463 0.59427 0.421212 0.588907
106000 0.597654 0.67759 0.436202 0.575329 0.416465 0.563137
107000 0.544597 0.732655 0.430153 0.578512 0.422252 0.573413
108000 0.706943 0.780484 0.409805 0.559767 0.412531 0.562679
109000 0.67878 0.711135 0.424108 0.587355 0.416826 0.568576
110000 0.29259 0.735467 0.409636 0.580509 0.420174 0.575648
111000 0.23859 0.577854 0.406872 0.564445 0.415523 0.566457
112000 0.463072 0.604534 0.421563 0.581183 0.428152 0.58418
113000 0.32875 0.856824 0.421576 0.575101 0.422034 0.577437
114000 0.817212 0.836194 0.420308 0.588753 0.411578 0.575214
115000 0.489436 0.650416 0.439695 0.581179 0.426496 0.575719
116000 0.485311 0.510079 0.421076 0.573416 0.410928 0.571147
117000 0.153498 0.335476 0.438885 0.577356 0.443346 0.582038
118000 0.328315 0.825719 0.424756 0.571528 0.419997 0.575022
119000 0.519593 0.53374 0.414125 0.555068 0.415414 0.567987
120000 0.477748 0.507844 0.426477 0.58363 0.425971 0.579519
121000 0.190981 0.624018 0.405494 0.572287 0.432318 0.582838
122000 0.46243 0.551854 0.417299 0.56648 0.420696 0.56537
123000 0.0882206 0.110389 0.441277 0.578312 0.440105 0.58028
124000 0.581255 0.705953 0.411887 0.572687 0.418107 0.578965
125000 0.559113 0.676081 0.415588 0.567907 0.423071 0.571615
126000 0.47259 0.508273 0.418027 0.571088 0.418923 0.576849
127000 0.317249 0.663931 0.413021 0.553696 0.402229 0.54164
128000 0.49755 0.695694 0.421085 0.569944 0.417989 0.571212
129000 0.716393 0.800737 0.434807 0.586034 0.420302 0.571407
130000 0.259485 0.522664 0.414078 0.556392 0.424013 0.568731
131000 0.363591 0.549052 0.401122 0.541648 0.408969 0.55972
